"taskId","smiles","Property","Value","Tool"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","mp",158.453433920905,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","bp",361.321585351117,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pka_acidic",10.3980043255224,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","pka_basic",6.37248253652512,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","caco2",-5.28997956042825,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","MDCK",-5.08579344624853,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","logVDss",0.358291649273989,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","Fu",1.92450127088475,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","PPB",97.4599705650784,"ADMETlab"
"3ad0c3b648c518b72fb1ec3b29479d7f","C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl","t0.5",0.73662542380361,"ADMETlab"
